codProducto,nombre,descripcionComida,tipoComida,precioSinIVA,tipoIVA,precioConIVA,stock
CODCOM001,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,13.75,IVA_DIEZ,15.13,20
CODCOM002,Ramen de miso,Delicioso ramen japonés,TipoComida.RAMEN,6.72,IVA_DIEZ,7.39,20
CODCOM003,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,11.83,IVA_DIEZ,13.01,20
CODCOM004,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,11.25,IVA_DIEZ,12.38,20
CODCOM005,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,10.14,IVA_DIEZ,11.15,20
CODCOM006,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,10.38,IVA_DIEZ,11.42,20
CODCOM007,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,12.69,IVA_DIEZ,13.96,20
CODCOM008,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,6.2,IVA_DIEZ,6.82,20
CODCOM009,Ramen de miso,Delicioso ramen japonés,TipoComida.RAMEN,8.85,IVA_DIEZ,9.74,20
CODCOM010,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,7.87,IVA_DIEZ,8.66,20
CODCOM011,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,11.35,IVA_DIEZ,12.49,20
CODCOM012,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,5.41,IVA_DIEZ,5.95,20
CODCOM013,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,6.29,IVA_DIEZ,6.92,20
CODCOM014,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,6.22,IVA_DIEZ,6.84,20
CODCOM015,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,8.47,IVA_DIEZ,9.32,20
CODCOM016,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,13.68,IVA_DIEZ,15.05,20
CODCOM017,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,9.91,IVA_DIEZ,10.9,20
CODCOM018,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,7.82,IVA_DIEZ,8.6,20
CODCOM019,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,14.3,IVA_DIEZ,15.73,20
CODCOM020,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,9.17,IVA_DIEZ,10.09,20
